# ΔRGB = imagem repetida, NÃO assunto repetido. PISO, não teto (ver cabeçalho de tools/medir_artes.js e docs/artes-skills-medicao.md).
deus,par,dRGB,corrEstrutural
hades,basico×habilidade,6.8,0.788
ammit,habilidade×milagre,6.9,0.989
osiris,habilidade×milagre,7.2,0.983
babi,habilidade×passiva,7.3,0.982
cerberus,basico×passiva,8.7,0.983
fenrir,basico×habilidade,8.9,0.971
bragi,basico×habilidade,9.2,0.937
mimir,habilidade×passiva,9.2,0.943
bastet,milagre×passiva,9.3,0.979
ymir,habilidade×milagre,9.5,0.957
itzamna,basico×habilidade,9.7,0.932
morrigan,milagre×passiva,9.7,0.658
ahpuch,basico×habilidade,9.8,0.85
amaterasu,basico×passiva,9.8,0.959
tanuki,habilidade×milagre,9.9,0.948
freyja,habilidade×passiva,10,0.986
mimir,basico×habilidade,10.2,0.9
morrigan,basico×habilidade,10.2,0.848
sobek,basico×habilidade,10.2,0.972
mimir,habilidade×milagre,10.6,0.941
saci,habilidade×milagre,10.6,0.936
nefertem,habilidade×milagre,10.7,0.967
khnum,milagre×passiva,11,0.927
ogum,habilidade×passiva,11,0.849
afrodite,basico×passiva,11.2,0.883
ymir,basico×passiva,11.2,0.948
sobek,habilidade×passiva,11.3,0.971
tyr,habilidade×passiva,11.3,0.962
cernunnos,basico×habilidade,11.4,0.841
afrodite,habilidade×passiva,11.5,0.891
krishna,habilidade×passiva,11.5,0.936
saci,milagre×passiva,11.5,0.882
tyr,habilidade×milagre,11.5,0.949
anubis,habilidade×passiva,11.6,0.958
bragi,basico×passiva,11.6,0.923
bragi,milagre×passiva,11.6,0.909
mimir,milagre×passiva,11.7,0.936
ymir,milagre×passiva,11.7,0.956
nefertem,basico×habilidade,11.8,0.962
nezha,habilidade×milagre,11.8,0.815
freyja,habilidade×milagre,11.9,0.979
loki,basico×habilidade,12,0.962
ogum,basico×habilidade,12.1,0.76
anubis,basico×milagre,12.2,0.964
nefertem,milagre×passiva,12.2,0.943
anubis,milagre×passiva,12.3,0.955
brahma,milagre×passiva,12.3,0.947
ymir,basico×milagre,12.3,0.958
mimir,basico×passiva,12.5,0.885
saci,habilidade×passiva,12.5,0.868
oxum,milagre×passiva,12.6,0.933
ymir,habilidade×passiva,12.6,0.948
ymir,basico×habilidade,12.7,0.94
dionisio,basico×milagre,12.9,0.885
loki,milagre×passiva,12.9,0.724
sobek,habilidade×milagre,12.9,0.952
freyja,milagre×passiva,13,0.968
ogum,basico×passiva,13,0.793
khnum,basico×habilidade,13.1,0.89
kagutsuchi,basico×passiva,13.2,0.863
bragi,habilidade×passiva,13.3,0.897
mimir,basico×milagre,13.4,0.878
curupira,habilidade×milagre,13.5,0.823
nefertem,habilidade×passiva,13.5,0.962
sobek,basico×milagre,13.5,0.955
houyi,milagre×passiva,13.6,0.905
