deus,slot,cornerMax,cornerStdMax,contraste,subtipo
ahpuch,milagre,0.032,0.028,0.104,escuro-cheio
amaterasu,basico,0.006,0.012,0.456,classico
amaterasu,habilidade,0.008,0.012,0.559,classico
amaterasu,milagre,0.006,0.012,0.463,classico
amaterasu,passiva,0.008,0.012,0.396,classico
ammit,basico,0.008,0.013,0.074,escuro-cheio
ammit,passiva,0.008,0.013,0.133,escuro-cheio
aokuang,basico,0.012,0.014,0.318,classico
aokuang,habilidade,0.015,0.015,0.263,classico
aokuang,milagre,0.009,0.012,0.374,classico
aokuang,passiva,0.009,0.012,0.266,classico
apolo,basico,0.007,0.012,0.431,classico
aquiles,basico,0.049,0.040,0.286,classico
ares,basico,0.011,0.013,0.060,escuro-cheio
atena,passiva,0.010,0.012,0.478,classico
babi,basico,0.007,0.012,0.070,escuro-cheio
baldur,basico,0.008,0.013,0.390,classico
baldur,habilidade,0.009,0.013,0.570,classico
baldur,milagre,0.008,0.013,0.595,classico
baldur,passiva,0.008,0.013,0.557,classico
bennu,basico,0.008,0.013,0.552,classico
bennu,habilidade,0.008,0.013,0.341,classico
bennu,milagre,0.009,0.013,0.444,classico
bennu,passiva,0.009,0.013,0.218,classico
boitata,basico,0.016,0.019,0.293,classico
boitata,habilidade,0.015,0.018,0.644,classico
boitata,milagre,0.013,0.020,0.345,classico
boto,basico,0.017,0.037,0.391,classico
boto,milagre,0.010,0.013,0.287,classico
boto,passiva,0.029,0.024,0.499,classico
bragi,basico,0.007,0.013,0.320,classico
bragi,habilidade,0.007,0.012,0.513,classico
bragi,milagre,0.006,0.012,0.340,classico
bragi,passiva,0.006,0.012,0.268,classico
brahma,basico,0.007,0.012,0.314,classico
brahma,habilidade,0.007,0.012,0.524,classico
brahma,milagre,0.006,0.012,0.311,classico
brahma,passiva,0.007,0.012,0.423,classico
cernunnos,milagre,0.022,0.025,0.285,classico
change,basico,0.036,0.031,0.309,classico
change,milagre,0.044,0.029,0.436,classico
change,passiva,0.009,0.013,0.216,classico
cuca,basico,0.022,0.016,0.111,escuro-cheio
cuca,milagre,0.050,0.038,0.015,escuro-cheio
cuca,passiva,0.030,0.046,0.195,classico
curupira,milagre,0.033,0.034,0.305,classico
dagda,habilidade,0.023,0.022,0.357,classico
dagda,milagre,0.033,0.048,0.349,classico
dagda,passiva,0.027,0.033,0.301,classico
demeter,habilidade,0.016,0.014,0.489,classico
demeter,milagre,0.010,0.019,0.618,classico
demeter,passiva,0.008,0.012,0.359,classico
dionisio,basico,0.011,0.014,0.328,classico
dionisio,habilidade,0.007,0.012,0.140,escuro-cheio
dionisio,milagre,0.020,0.015,0.248,classico
dionisio,passiva,0.008,0.014,0.149,escuro-cheio
durga,basico,0.005,0.011,0.310,classico
durga,habilidade,0.005,0.011,0.293,classico
durga,milagre,0.005,0.012,0.270,classico
durga,passiva,0.012,0.014,0.236,classico
erinias,habilidade,0.007,0.012,0.171,classico
exu,basico,0.020,0.016,0.116,escuro-cheio
exu,habilidade,0.018,0.016,0.106,escuro-cheio
exu,milagre,0.035,0.050,0.129,escuro-cheio
exu,passiva,0.016,0.014,0.090,escuro-cheio
fenrir,milagre,0.012,0.038,0.163,classico
freyja,basico,0.007,0.012,0.575,classico
freyja,habilidade,0.011,0.016,0.587,classico
freyja,milagre,0.011,0.015,0.537,classico
freyja,passiva,0.010,0.015,0.541,classico
fujin,basico,0.008,0.012,0.721,classico
fujin,habilidade,0.008,0.012,0.537,classico
ganesha,basico,0.018,0.016,0.519,classico
guanyu,basico,0.008,0.011,0.239,classico
guanyu,habilidade,0.012,0.012,0.366,classico
guanyu,milagre,0.007,0.012,0.219,classico
guanyu,passiva,0.010,0.012,0.150,escuro-cheio
hades,basico,0.008,0.012,0.108,escuro-cheio
hades,habilidade,0.008,0.012,0.040,escuro-cheio
hanuman,milagre,0.012,0.014,0.239,classico
hercules,basico,0.016,0.019,0.261,classico
hercules,habilidade,0.027,0.031,0.202,classico
hercules,milagre,0.016,0.022,0.237,classico
hercules,passiva,0.026,0.019,0.304,classico
houyi,basico,0.005,0.011,0.189,classico
houyi,habilidade,0.005,0.010,0.318,classico
houyi,milagre,0.007,0.012,0.299,classico
houyi,passiva,0.008,0.012,0.350,classico
huangdi,basico,0.009,0.013,0.215,classico
huangdi,milagre,0.005,0.010,0.243,classico
huangdi,passiva,0.005,0.011,0.323,classico
iansa,basico,0.040,0.044,0.350,classico
iansa,habilidade,0.022,0.019,0.388,classico
izanagi,basico,0.006,0.012,0.458,classico
izanagi,habilidade,0.008,0.012,0.435,classico
izanagi,milagre,0.007,0.012,0.575,classico
izanagi,passiva,0.024,0.018,0.251,classico
izanami,basico,0.008,0.012,0.193,classico
izanami,passiva,0.006,0.011,0.050,escuro-cheio
jormungandr,basico,0.005,0.011,0.127,escuro-cheio
jormungandr,milagre,0.027,0.023,0.259,classico
jormungandr,passiva,0.027,0.023,0.114,escuro-cheio
kali,basico,0.006,0.011,0.081,escuro-cheio
kali,habilidade,0.006,0.012,0.125,escuro-cheio
kali,milagre,0.006,0.011,0.289,classico
kali,passiva,0.008,0.012,0.051,escuro-cheio
khnum,basico,0.010,0.014,0.303,classico
khnum,habilidade,0.011,0.014,0.279,classico
khnum,milagre,0.015,0.015,0.414,classico
khnum,passiva,0.016,0.015,0.357,classico
khonshu,basico,0.016,0.016,0.162,classico
khonshu,habilidade,0.017,0.016,0.239,classico
khonshu,milagre,0.018,0.016,0.408,classico
khonshu,passiva,0.006,0.013,0.174,classico
kitsune,basico,0.009,0.012,0.501,classico
kitsune,passiva,0.027,0.026,0.470,classico
krishna,basico,0.009,0.012,0.209,classico
krishna,habilidade,0.006,0.011,0.446,classico
krishna,milagre,0.006,0.012,0.369,classico
krishna,passiva,0.006,0.012,0.351,classico
loki,milagre,0.005,0.012,0.137,escuro-cheio
medusa,milagre,0.015,0.014,0.116,escuro-cheio
mimir,basico,0.006,0.012,0.164,classico
mimir,habilidade,0.006,0.012,0.237,classico
mimir,milagre,0.006,0.011,0.387,classico
mimir,passiva,0.006,0.011,0.334,classico
mnevis,basico,0.005,0.011,0.159,classico
mnevis,habilidade,0.023,0.017,0.235,classico
mnevis,milagre,0.004,0.011,0.183,classico
mnevis,passiva,0.006,0.012,0.158,classico
morrigan,milagre,0.024,0.031,0.034,escuro-cheio
morrigan,passiva,0.023,0.031,0.048,escuro-cheio
mulasemcabeca,basico,0.011,0.013,0.095,escuro-cheio
mulasemcabeca,milagre,0.034,0.043,0.247,classico
mulasemcabeca,passiva,0.021,0.024,0.136,escuro-cheio
nezha,basico,0.012,0.012,0.239,classico
nezha,habilidade,0.012,0.013,0.158,classico
nezha,milagre,0.014,0.013,0.268,classico
nezha,passiva,0.007,0.011,0.476,classico
nuwa,basico,0.007,0.012,0.274,classico
nuwa,habilidade,0.007,0.012,0.250,classico
nuwa,milagre,0.005,0.011,0.357,classico
nuwa,passiva,0.003,0.010,0.470,classico
oni,habilidade,0.005,0.000,0.111,escuro-cheio
oni,milagre,0.006,0.011,0.119,escuro-cheio
oni,passiva,0.005,0.011,0.056,escuro-cheio
orfeu,basico,0.008,0.012,0.302,classico
orfeu,habilidade,0.009,0.013,0.214,classico
perseu,habilidade,0.008,0.011,0.246,classico
perseu,milagre,0.008,0.013,0.163,classico
piranha,basico,0.012,0.012,0.220,classico
piranha,habilidade,0.024,0.049,0.297,classico
piranha,milagre,0.024,0.030,0.062,escuro-cheio
piranha,passiva,0.027,0.016,0.104,escuro-cheio
poseidon,passiva,0.009,0.012,0.309,classico
raijin,basico,0.002,0.009,0.476,classico
raijin,habilidade,0.004,0.011,0.241,classico
raijin,milagre,0.006,0.012,0.415,classico
raijin,passiva,0.008,0.012,0.381,classico
shiva,basico,0.007,0.013,0.212,classico
shiva,habilidade,0.006,0.012,0.266,classico
shiva,milagre,0.007,0.012,0.334,classico
shutendoji,basico,0.006,0.011,0.160,classico
shutendoji,milagre,0.013,0.014,0.202,classico
shutendoji,passiva,0.007,0.011,0.132,escuro-cheio
sunwukong,basico,0.007,0.012,0.468,classico
sunwukong,habilidade,0.008,0.012,0.431,classico
sunwukong,milagre,0.011,0.012,0.358,classico
sunwukong,passiva,0.006,0.011,0.363,classico
susanoo,basico,0.006,0.012,0.199,classico
susanoo,habilidade,0.004,0.010,0.164,classico
susanoo,milagre,0.016,0.014,0.284,classico
susanoo,passiva,0.014,0.015,0.330,classico
tanuki,basico,0.016,0.016,0.363,classico
tanuki,habilidade,0.027,0.028,0.299,classico
tanuki,milagre,0.021,0.020,0.398,classico
tanuki,passiva,0.031,0.028,0.310,classico
thor,basico,0.011,0.013,0.380,classico
tsukuyomi,basico,0.054,0.018,0.266,classico
tsukuyomi,milagre,0.008,0.012,0.284,classico
tsukuyomi,passiva,0.008,0.012,0.273,classico
tyr,basico,0.010,0.015,0.296,classico
tyr,habilidade,0.009,0.014,0.469,classico
tyr,milagre,0.010,0.014,0.408,classico
tyr,passiva,0.009,0.013,0.365,classico
vishnu,basico,0.007,0.012,0.515,classico
vishnu,habilidade,0.007,0.012,0.365,classico
vishnu,milagre,0.006,0.012,0.347,classico
vishnu,passiva,0.004,0.011,0.375,classico
xango,basico,0.035,0.048,0.113,escuro-cheio
xango,habilidade,0.026,0.041,0.136,escuro-cheio
xango,passiva,0.012,0.014,0.203,classico
yamatotakeru,basico,0.005,0.011,0.101,escuro-cheio
yamatotakeru,habilidade,0.006,0.011,0.092,escuro-cheio
yamatotakeru,passiva,0.006,0.012,0.164,classico
yanwong,basico,0.007,0.012,0.137,escuro-cheio
yanwong,habilidade,0.007,0.012,0.216,classico
yanwong,milagre,0.006,0.012,0.124,escuro-cheio
yanwong,passiva,0.014,0.017,0.053,escuro-cheio
ymir,basico,0.005,0.011,0.401,classico
ymir,habilidade,0.005,0.011,0.430,classico
ymir,milagre,0.005,0.011,0.482,classico
ymir,passiva,0.005,0.011,0.477,classico
