lugar,viewport,escala,design_larg,design_alt,fisico_larg,fisico_alt,menor_lado_fisico,fonte,menor>=40?,cabe_ornamento?
grade,780x640,1,20,22,20,22,20.0,9px,nao,sim
resumo,780x640,1,28,19,28,19,19.0,11px,nao,sim
painel,780x640,1,27.4,22,27.4,22,22.0,12px,nao,sim
sobrepor,780x640,1,34.7,27,34.7,27,27.0,14px,nao,sim
deus,780x640,1,9.6,21,9.6,21,9.6,15px,nao,nao
missoes,780x640,1,3,82,3,82,3.0,13.3333px,nao,nao
selecao,780x640,1,20.4,16,20.4,16,16.0,10px,nao,sim
reveal,780x640,1,13.8,29.1,13.8,29.1,13.8,55.08px,nao,ja-svg
grade,951x640,1.219,20,22,24.4,26.8,24.4,9px,nao,sim
resumo,951x640,1.219,28,19,34.1,23.2,23.2,11px,nao,sim
painel,951x640,1.219,27.4,22,33.4,26.8,26.8,12px,nao,sim
sobrepor,951x640,1.219,34.7,27,42.3,32.9,32.9,14px,nao,sim
deus,951x640,1.219,9.6,21,11.7,25.6,11.7,15px,nao,nao
missoes,951x640,1.219,3,82,3.7,100,3.7,13.3333px,nao,nao
selecao,951x640,1.219,20.4,16,24.9,19.5,19.5,10px,nao,sim
reveal,951x640,1.219,13.8,28.9,16.8,35.3,16.8,55.08px,nao,ja-svg
